                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5017,                 2.3775,                 1.7809,                0.17291,                0.24146,                0.11257,                0.03653,                 2.2174,                 2.9016,                 2.5234,             0.00066333,             0.00066333,             0.00066333
                      2,                 1.6235,                 2.2207,                 1.9009,                0.08685,                  0.065,                0.01594,                0.00531,                 3.1719,                 3.3035,                 2.9417,              0.0013234,              0.0013234,              0.0013234
                      3,                 1.6519,                 2.1331,                 1.9058,                0.29152,                 0.3175,                0.22318,                0.06314,                 2.3686,                 2.8243,                 2.6077,              0.0019769,              0.0019769,              0.0019769
                      4,                 1.6242,                  2.124,                 1.8934,                0.29172,                   0.42,                0.24522,                0.07503,                  2.276,                 2.3291,                 2.6592,              0.0019703,              0.0019703,              0.0019703
                      5,                 1.5474,                 2.0092,                  1.848,                  0.247,                  0.255,                0.19364,                0.05755,                 2.2904,                 2.6108,                 2.7424,              0.0019604,              0.0019604,              0.0019604
                      6,                 1.5412,                 1.9579,                 1.8327,                0.49657,                   0.42,                0.43271,                0.14615,                 2.1416,                  1.992,                 2.4062,              0.0019505,              0.0019505,              0.0019505
                      7,                 1.4881,                 1.8419,                 1.7812,                0.43797,                   0.48,                0.39855,                0.14603,                 2.0088,                 2.0441,                 2.3152,              0.0019406,              0.0019406,              0.0019406
                      8,                  1.477,                 1.8272,                 1.7641,                0.39238,                  0.395,                0.31587,                0.10838,                 2.2116,                 2.2082,                 2.4844,              0.0019307,              0.0019307,              0.0019307
                      9,                 1.4213,                 1.7183,                 1.7095,                0.48312,                0.54913,                0.43895,                0.14687,                 2.1649,                 1.8992,                 2.4308,              0.0019208,              0.0019208,              0.0019208
                     10,                 1.4076,                 1.6893,                 1.7079,                0.31927,                   0.41,                0.27537,                0.09199,                 2.4031,                 2.2497,                  2.711,              0.0019109,              0.0019109,              0.0019109
                     11,                 1.4085,                 1.6432,                 1.7009,                0.38006,                   0.54,                0.40842,                0.15304,                  2.014,                 1.9701,                 2.2695,               0.001901,               0.001901,               0.001901
                     12,                 1.3611,                 1.5957,                 1.6666,                0.55074,                  0.575,                0.53424,                0.19446,                 2.0575,                 1.7226,                 2.3434,              0.0018911,              0.0018911,              0.0018911
                     13,                 1.3724,                 1.5558,                 1.6642,                0.52005,                 0.5975,                0.53174,                0.20768,                 1.9196,                 1.8612,                 2.1635,              0.0018812,              0.0018812,              0.0018812
                     14,                 1.3548,                 1.5137,                  1.651,                0.53758,                   0.57,                0.52409,                0.20779,                 1.9698,                 1.6563,                 2.2627,              0.0018713,              0.0018713,              0.0018713
                     15,                  1.326,                  1.482,                 1.6229,                0.59991,                 0.5425,                0.52571,                0.18494,                 2.1592,                 1.6681,                 2.4272,              0.0018614,              0.0018614,              0.0018614
                     16,                 1.3104,                 1.4707,                 1.6225,                0.51205,                 0.6675,                0.58417,                  0.233,                 2.0143,                 1.5649,                 2.2855,              0.0018515,              0.0018515,              0.0018515
                     17,                    1.3,                  1.434,                 1.6138,                0.54344,                   0.61,                0.58194,                0.23414,                 2.0533,                  1.618,                 2.3094,              0.0018416,              0.0018416,              0.0018416
                     18,                  1.295,                 1.4422,                 1.5952,                0.51797,                0.55608,                0.51707,                0.19675,                 2.0375,                 1.7222,                 2.3015,              0.0018317,              0.0018317,              0.0018317
                     19,                 1.2539,                  1.345,                 1.5612,                0.56339,                  0.535,                 0.5425,                0.22922,                 1.9181,                  1.696,                 2.1984,              0.0018218,              0.0018218,              0.0018218
                     20,                 1.2493,                  1.315,                 1.5681,                0.59733,                 0.6025,                 0.5617,                  0.219,                 2.0141,                 1.6638,                 2.3586,              0.0018119,              0.0018119,              0.0018119
                     21,                 1.2313,                 1.2986,                 1.5527,                 0.5317,                   0.58,                0.52712,                0.18432,                 2.3059,                  1.669,                 2.6093,               0.001802,               0.001802,               0.001802
                     22,                 1.2352,                 1.2924,                  1.551,                0.62084,                 0.5875,                0.57525,                0.24182,                 1.9994,                 1.5549,                 2.3155,              0.0017921,              0.0017921,              0.0017921
                     23,                 1.2007,                  1.223,                 1.5229,                 0.5342,                 0.6125,                0.57475,                 0.2215,                 2.0964,                 1.5553,                 2.3818,              0.0017822,              0.0017822,              0.0017822
                     24,                 1.2079,                 1.2252,                 1.5203,                0.57888,                 0.5675,                0.54182,                0.22346,                 2.0518,                 1.6056,                 2.3446,              0.0017723,              0.0017723,              0.0017723
                     25,                 1.1871,                 1.2023,                 1.5052,                0.55843,                0.58491,                0.55365,                0.20913,                 2.1214,                 1.5928,                 2.4125,              0.0017624,              0.0017624,              0.0017624
                     26,                 1.1634,                 1.1592,                 1.4884,                0.60627,                  0.585,                0.57449,                0.22527,                 2.0809,                 1.5626,                 2.3801,              0.0017525,              0.0017525,              0.0017525
                     27,                 1.1664,                 1.1434,                 1.4801,                0.59064,                 0.6075,                0.56255,                0.23315,                 2.0959,                 1.5509,                 2.4207,              0.0017426,              0.0017426,              0.0017426
                     28,                 1.1639,                 1.1436,                 1.4711,                 0.6348,                 0.5825,                0.62015,                0.22691,                  2.227,                 1.5042,                 2.5268,              0.0017327,              0.0017327,              0.0017327
                     29,                 1.1419,                 1.1138,                  1.471,                0.59531,                  0.605,                0.57634,                0.24768,                 1.9727,                  1.551,                 2.2691,              0.0017228,              0.0017228,              0.0017228
                     30,                 1.1184,                 1.1055,                 1.4513,                0.64655,                   0.56,                0.59314,                0.23737,                 2.0059,                 1.5709,                 2.3415,              0.0017129,              0.0017129,              0.0017129
                     31,                 1.1092,                 1.0605,                 1.4366,                0.57447,                 0.5825,                0.54745,                0.23606,                 2.0146,                 1.5765,                 2.3759,               0.001703,               0.001703,               0.001703
                     32,                  1.115,                 1.0355,                 1.4271,                0.59052,                0.55521,                0.53476,                0.22465,                 2.0815,                 1.6453,                 2.4532,              0.0016931,              0.0016931,              0.0016931
                     33,                 1.0905,                 1.0316,                  1.422,                 0.5974,                0.62322,                0.57336,                0.25255,                  1.967,                 1.5331,                 2.3122,              0.0016832,              0.0016832,              0.0016832
                     34,                 1.0743,                 1.0178,                 1.4077,                0.59699,                   0.55,                0.54408,                0.23058,                 2.1549,                 1.5767,                 2.5255,              0.0016733,              0.0016733,              0.0016733
                     35,                 1.0688,                 1.0014,                 1.4039,                0.60659,                 0.6275,                0.59682,                0.23633,                 2.1506,                 1.5149,                 2.5412,              0.0016634,              0.0016634,              0.0016634
                     36,                 1.0645,                0.98682,                  1.401,                 0.6024,                0.54166,                0.52943,                0.21185,                 2.1551,                 1.6172,                  2.548,              0.0016535,              0.0016535,              0.0016535
